,age,occupation,marital,education,housing_loan,personal_loan,contact,month,day,duration,contact_freq,days_passed,contact_bef,prev_outcome,emp_var_rate,cpi_index,cci_index,e3m,employees,subscription,prev_part
50,54,admin.,married,high.school,no,no,telephone,may,mon,160.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
51,39,housemaid,married,basic.4y,no,yes,telephone,may,mon,266.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
52,60,admin.,married,high.school,no,no,telephone,may,mon,253.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
53,53,admin.,single,professional.course,no,no,telephone,may,mon,179.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
59,25,technician,single,university.degree,yes,no,telephone,may,mon,174.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
61,51,blue-collar,married,basic.9y,yes,no,telephone,may,mon,812.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
64,48,admin.,married,high.school,no,no,telephone,may,mon,357.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
65,37,admin.,married,university.degree,no,no,telephone,may,mon,232.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
66,44,blue-collar,single,basic.9y,yes,no,telephone,may,mon,91.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
68,56,admin.,married,basic.9y,yes,no,telephone,may,mon,158.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
70,41,management,married,basic.6y,no,no,telephone,may,mon,200.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
71,44,management,divorced,university.degree,yes,no,telephone,may,mon,172.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
76,55,technician,married,university.degree,no,no,telephone,may,mon,349.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
84,38,technician,single,university.degree,no,yes,telephone,may,mon,20.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
85,31,admin.,divorced,high.school,no,no,telephone,may,mon,246.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
86,41,management,married,basic.6y,no,no,telephone,may,mon,529.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
87,39,admin.,married,university.degree,yes,yes,telephone,may,mon,192.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
88,49,technician,married,basic.9y,no,no,telephone,may,mon,1467.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,0
89,34,admin.,married,high.school,yes,no,telephone,may,mon,188.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
90,35,admin.,married,university.degree,yes,no,telephone,may,mon,180.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
93,33,unemployed,married,basic.9y,no,no,telephone,may,mon,545.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
94,42,blue-collar,married,basic.6y,no,yes,telephone,may,mon,583.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
95,45,services,married,professional.course,yes,no,telephone,may,mon,221.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
96,42,management,married,university.degree,no,no,telephone,may,mon,426.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
98,37,technician,single,professional.course,no,no,telephone,may,mon,197.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
99,44,blue-collar,married,basic.6y,no,no,telephone,may,mon,257.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
101,49,blue-collar,married,basic.4y,no,no,telephone,may,mon,55.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
103,52,admin.,divorced,university.degree,no,no,telephone,may,mon,197.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
104,52,admin.,divorced,university.degree,no,no,telephone,may,mon,190.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
106,34,housemaid,married,basic.6y,yes,no,telephone,may,mon,300.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
107,35,admin.,married,high.school,yes,no,telephone,may,mon,123.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
112,35,services,divorced,high.school,yes,no,telephone,may,mon,194.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
114,37,management,married,university.degree,no,no,telephone,may,mon,337.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
115,36,blue-collar,married,high.school,no,no,telephone,may,mon,286.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
116,52,admin.,divorced,university.degree,no,no,telephone,may,mon,247.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
121,49,blue-collar,divorced,high.school,no,no,telephone,may,mon,439.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
122,41,services,married,high.school,no,no,telephone,may,mon,139.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
123,45,technician,married,high.school,yes,no,telephone,may,mon,79.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
124,32,admin.,married,university.degree,yes,yes,telephone,may,mon,175.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
125,42,admin.,married,university.degree,no,yes,telephone,may,mon,262.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
126,50,admin.,married,basic.6y,no,no,telephone,may,mon,61.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
127,31,technician,divorced,professional.course,yes,yes,telephone,may,mon,78.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
128,56,retired,married,basic.4y,yes,no,telephone,may,mon,102.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
130,37,blue-collar,married,basic.6y,yes,yes,telephone,may,mon,143.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
133,37,blue-collar,married,basic.6y,yes,no,telephone,may,mon,345.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
134,52,management,married,university.degree,no,no,telephone,may,mon,185.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
135,39,management,divorced,university.degree,no,no,telephone,may,mon,207.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
138,34,services,married,high.school,yes,no,telephone,may,mon,125.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
140,43,unemployed,single,university.degree,yes,no,telephone,may,mon,240.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
142,39,management,married,university.degree,yes,no,telephone,may,mon,193.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
143,53,blue-collar,married,basic.4y,yes,no,telephone,may,mon,136.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
147,35,admin.,single,high.school,yes,no,telephone,may,mon,338.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
149,51,blue-collar,married,basic.4y,yes,no,telephone,may,mon,87.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
155,36,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,98.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
158,43,technician,single,professional.course,yes,no,telephone,may,mon,186.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
159,59,services,married,high.school,no,no,telephone,may,mon,579.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
160,24,management,single,university.degree,yes,no,telephone,may,mon,165.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
165,37,entrepreneur,married,basic.6y,no,no,telephone,may,mon,85.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
166,38,services,married,high.school,yes,yes,telephone,may,mon,506.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
169,54,management,divorced,university.degree,yes,no,telephone,may,mon,843.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
172,45,technician,married,university.degree,yes,yes,telephone,may,mon,292.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
174,43,services,married,high.school,no,no,telephone,may,mon,93.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
175,46,management,married,basic.9y,no,no,telephone,may,mon,128.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
176,44,services,married,high.school,yes,yes,telephone,may,mon,107.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
177,51,admin.,single,basic.6y,no,no,telephone,may,mon,303.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
178,28,services,married,high.school,yes,no,telephone,may,mon,81.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
179,37,blue-collar,married,basic.9y,no,no,telephone,may,mon,270.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
180,34,technician,married,high.school,no,no,telephone,may,mon,228.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
182,42,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,673.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,0
183,36,admin.,married,university.degree,yes,no,telephone,may,mon,233.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
185,57,management,married,university.degree,no,no,telephone,may,mon,461.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
189,34,admin.,married,university.degree,yes,no,telephone,may,mon,138.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
190,41,technician,married,professional.course,no,no,telephone,may,mon,412.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
191,38,blue-collar,single,basic.9y,yes,no,telephone,may,mon,179.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
192,45,management,divorced,university.degree,no,no,telephone,may,mon,19.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
193,42,technician,married,university.degree,no,no,telephone,may,mon,228.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
195,48,blue-collar,married,basic.4y,yes,no,telephone,may,mon,717.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
199,43,blue-collar,married,basic.6y,yes,no,telephone,may,mon,1077.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
200,33,services,married,high.school,no,no,telephone,may,mon,146.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
201,32,services,single,basic.6y,no,no,telephone,may,mon,167.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
202,39,blue-collar,married,high.school,yes,no,telephone,may,mon,356.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
204,44,blue-collar,married,basic.9y,yes,no,telephone,may,mon,172.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
207,35,unemployed,married,professional.course,no,no,telephone,may,mon,67.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
208,36,services,single,basic.4y,no,no,telephone,may,mon,291.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
210,36,student,single,basic.9y,yes,no,telephone,may,mon,256.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
211,55,housemaid,divorced,university.degree,no,no,telephone,may,mon,286.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
212,59,admin.,married,university.degree,no,no,telephone,may,mon,477.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
219,40,services,married,high.school,no,no,telephone,may,mon,322.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
220,35,admin.,married,high.school,yes,no,telephone,may,mon,216.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
224,40,technician,married,basic.9y,no,no,telephone,may,mon,168.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
225,58,retired,married,university.degree,no,no,telephone,may,mon,132.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
226,42,technician,married,university.degree,no,no,telephone,may,mon,64.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
227,35,admin.,single,university.degree,no,no,telephone,may,mon,209.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
229,45,blue-collar,married,basic.4y,yes,yes,telephone,may,mon,177.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
230,39,admin.,married,professional.course,yes,no,telephone,may,mon,580.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
231,50,services,divorced,professional.course,yes,no,telephone,may,mon,165.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
235,44,admin.,married,professional.course,yes,no,telephone,may,mon,300.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
236,56,blue-collar,married,basic.4y,no,no,telephone,may,mon,136.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
237,48,admin.,married,high.school,no,no,telephone,may,mon,125.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
240,57,retired,married,high.school,no,no,telephone,may,mon,238.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
241,36,technician,single,professional.course,no,no,telephone,may,mon,124.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
242,34,management,married,university.degree,yes,no,telephone,may,mon,18.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
243,34,services,single,basic.9y,no,no,telephone,may,mon,730.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
246,32,technician,single,professional.course,no,no,telephone,may,mon,79.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
247,36,technician,single,high.school,yes,no,telephone,may,mon,142.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
248,36,blue-collar,single,high.school,no,yes,telephone,may,mon,389.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
249,33,services,single,high.school,no,no,telephone,may,mon,702.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
250,40,technician,divorced,professional.course,no,no,telephone,may,mon,151.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
251,41,blue-collar,married,basic.4y,yes,no,telephone,may,mon,211.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
252,51,services,married,basic.6y,yes,no,telephone,may,mon,117.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
253,36,technician,married,professional.course,yes,no,telephone,may,mon,232.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
255,53,services,married,high.school,yes,yes,telephone,may,mon,370.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
257,45,management,married,basic.9y,no,yes,telephone,may,mon,46.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
259,33,admin.,married,high.school,no,yes,telephone,may,mon,50.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
260,33,admin.,married,high.school,no,yes,telephone,may,mon,181.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
262,42,technician,married,high.school,no,no,telephone,may,mon,361.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
263,43,admin.,divorced,basic.9y,no,no,telephone,may,mon,73.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
264,42,admin.,married,university.degree,no,no,telephone,may,mon,67.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
265,27,blue-collar,single,basic.6y,no,no,telephone,may,mon,350.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
266,34,self-employed,single,university.degree,yes,no,telephone,may,mon,150.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
268,54,management,divorced,university.degree,no,no,telephone,may,mon,611.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
271,47,management,divorced,university.degree,no,no,telephone,may,mon,89.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
273,32,admin.,single,high.school,no,no,telephone,may,mon,611.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
276,34,services,married,high.school,no,no,telephone,may,mon,962.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
278,47,technician,single,basic.9y,no,no,telephone,may,mon,10.0,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
279,51,retired,married,professional.course,no,no,telephone,may,mon,118.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
280,47,blue-collar,married,basic.6y,no,no,telephone,may,mon,92.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
281,56,technician,married,basic.4y,yes,no,telephone,may,mon,143.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
282,53,admin.,married,basic.9y,no,no,telephone,may,mon,189.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
283,36,blue-collar,married,basic.9y,yes,no,telephone,may,mon,75.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
284,42,blue-collar,divorced,basic.9y,yes,no,telephone,may,mon,189.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
285,44,blue-collar,divorced,basic.6y,no,no,telephone,may,mon,55.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
286,39,housemaid,married,basic.9y,yes,no,telephone,may,mon,935.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,0
287,37,admin.,single,high.school,yes,yes,telephone,may,mon,56.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
289,36,services,married,high.school,no,no,telephone,may,mon,225.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
290,42,management,divorced,university.degree,yes,no,telephone,may,mon,125.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
291,31,admin.,married,high.school,yes,yes,telephone,may,mon,286.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
293,45,blue-collar,married,basic.4y,yes,no,telephone,may,mon,164.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
294,37,technician,single,professional.course,yes,no,telephone,may,mon,98.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
295,47,self-employed,married,professional.course,no,no,telephone,may,mon,446.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
296,49,blue-collar,divorced,high.school,no,yes,telephone,may,mon,742.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
297,36,admin.,married,university.degree,yes,no,telephone,may,mon,120.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
298,35,services,divorced,high.school,no,no,telephone,may,mon,122.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
304,42,admin.,married,high.school,yes,no,telephone,may,mon,248.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
307,57,housemaid,divorced,basic.4y,yes,yes,telephone,may,mon,205.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
308,42,admin.,married,university.degree,yes,no,telephone,may,mon,261.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
309,41,blue-collar,married,basic.4y,yes,no,telephone,may,mon,83.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
310,54,management,divorced,university.degree,yes,no,telephone,may,mon,106.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
311,27,admin.,single,university.degree,no,no,telephone,may,mon,106.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
312,36,admin.,married,high.school,no,no,telephone,may,mon,108.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
316,33,admin.,divorced,high.school,no,no,telephone,may,mon,364.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
317,56,retired,married,basic.6y,no,no,telephone,may,mon,136.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
318,42,blue-collar,married,basic.9y,no,no,telephone,may,mon,173.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
319,43,services,married,high.school,yes,no,telephone,may,mon,241.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
320,54,management,single,basic.9y,yes,no,telephone,may,mon,224.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
321,53,admin.,single,basic.6y,yes,yes,telephone,may,mon,148.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
324,54,technician,married,professional.course,yes,yes,telephone,may,mon,196.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
325,40,housemaid,single,professional.course,no,no,telephone,may,mon,111.0,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
326,26,admin.,single,university.degree,yes,no,telephone,may,mon,231.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
327,33,admin.,married,high.school,no,no,telephone,may,mon,316.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
329,36,admin.,married,high.school,no,no,telephone,may,mon,669.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
330,29,services,single,high.school,yes,no,telephone,may,mon,425.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
331,36,blue-collar,married,basic.9y,yes,no,telephone,may,mon,121.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
332,35,management,married,high.school,yes,no,telephone,may,mon,174.0,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
333,50,self-employed,single,university.degree,no,yes,telephone,may,mon,88.0,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
